1,Human,Human,0,Human,21,game00001.log,
339,260556530,GreedyPlayer,1,GreedyPlayer,24,game00339.log,
340,260556530,GreedyPlayer,1,GreedyPlayer,26,game00340.log,
341,GreedyPlayer,260556530,1,260556530,20,game00341.log,
342,260556530,GreedyPlayer,1,GreedyPlayer,0,game00342.log,ILLEGAL MOVE: Player 0 ends turn.
343,GreedyPlayer,260556530,1,260556530,20,game00343.log,
344,260556530,GreedyPlayer,1,GreedyPlayer,26,game00344.log,
345,260556530,GreedyPlayer,1,GreedyPlayer,25,game00345.log,
346,260556530,GreedyPlayer,1,GreedyPlayer,15,game00346.log,
347,260556530,GreedyPlayer,0,260556530,27,game00347.log,
348,260556530,GreedyPlayer,0,260556530,31,game00348.log,
349,260556530,GreedyPlayer,0,260556530,22,game00349.log,
350,260556530,GreedyPlayer,0,260556530,27,game00350.log,
351,GreedyPlayer,260556530,1,260556530,21,game00351.log,
352,GreedyPlayer,260556530,0,GreedyPlayer,27,game00352.log,
353,260556530,GreedyPlayer,0,260556530,35,game00353.log,
354,GreedyPlayer,260556530,1,260556530,31,game00354.log,
355,260556530,GreedyPlayer,0,260556530,30,game00355.log,
356,GreedyPlayer,260556530,1,260556530,21,game00356.log,
357,260556530,GreedyPlayer,0,260556530,22,game00357.log,
358,260556530,GreedyPlayer,1,GreedyPlayer,22,game00358.log,
359,GreedyPlayer,260556530,1,260556530,23,game00359.log,
360,260556530,GreedyPlayer,0,260556530,43,game00360.log,
361,GreedyPlayer,260556530,GAMEOVER DRAW         Player-0 score: 36  Player-1 score: 36,NOBODY,18,game00361.log,
362,260556530,GreedyPlayer,1,GreedyPlayer,25,game00362.log,
363,GreedyPlayer,260556530,1,260556530,22,game00363.log,
364,260556530,GreedyPlayer,GAMEOVER USER CANCEL UNDECIDED,NOBODY,2,game00364.log,USER CANCEL
365,GreedyPlayer,260556530,0,GreedyPlayer,0,game00365.log,TIMEOUT
